,Unnamed: 0,created_at,tweet_id,receiver_name,receiver_id,tweet_text,screen_name,name,account_creation_date,urls,preprocess_tweet,Positive,Negative,Compound,Sentiment,label
0,0,2022-04-25 17:10:41+00:00,1518638641848803329,,,"rt @wckitchen: scenes from our food kit delivery in umlazi, south africa! 📸 over the weekend, wck partner gift of the givers brought 600 fo…",joelleshay1,@Joellimoguy,Fri Mar 31 05:40:07 +0000 2017,[],scenes food kit delivery umlazi south africa weekend wck paner gift givers brought fo,0.318,0.0,0.6808,Positive,1
1,1,2022-04-25 17:10:38+00:00,1518638627923894274,,,"public health experts, juno thomas and linda erasmus from the national institute for communicable diseases explain… ",SABCNews,SABC News,Wed Mar 18 15:16:33 +0000 2009,"[{'url': 'https://t.co/EE5xDNmv7q', 'expanded_url': 'https://twitter.com/i/web/status/1518638627923894274', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [116, 139]}]",public health expes juno thomas linda erasmus national institute communicable diseases explain,0.0,0.0,0.0,Negative,0
2,2,2022-04-25 17:10:37+00:00,1518638624849412096,,,"rt @_bonga: kzn revised the cost of the floods from r950bn to r17bn? 

😂😂😂😂😂😂😂😂😂😂😂",_RebaS,Reba,Sun Nov 23 15:31:45 +0000 2014,[],kzn revised cost floods r bn r bn,0.0,0.0,0.0,Negative,0
3,3,2022-04-25 17:10:24+00:00,1518638571049078784,,,"mdmema: even if you don’t live next to a water source, small amounts of ran can overwhelm your neighborhood or city… ",BlueCrabsFoodFe,Blue Crabs Beer Food & Wine Fest,Fri Feb 16 20:37:12 +0000 2018,"[{'url': 'https://t.co/qZkYMJ183I', 'expanded_url': 'https://twitter.com/i/web/status/1518638571049078784', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",mdmema even live next water source small amounts ran overwhelm neighborhood city,0.0,0.134,-0.1779,Negative,0
4,4,2022-04-25 17:10:09+00:00,1518638508201881600,,,"rt @amydoghouse: @elonmusk @johnnacrider1 @stats_feed right, because the subways are completely sealed and water wouldn't flow into them. h…",albertw73935497,Albert J. Wallace,Mon May 11 12:41:54 +0000 2020,[],right subways completely sealed water flow h,0.0,0.0,0.0,Negative,0
5,5,2022-04-25 17:10:08+00:00,1518638503491522560,,,"rt @financeghost: tfg says a ""cloth"" warehouse was damaged in the floods, but that the damages aren't material.

rare to see a dad joke on…",Metsengwane,Mokgaga,Thu May 31 17:20:49 +0000 2012,[],tfg says cloth warehouse damaged floods damages material rare see dad joke,0.129,0.341,-0.5574,Negative,0
6,6,2022-04-25 17:10:04+00:00,1518638487192453122,,,rt @gcis_kzn: they were also informed about government's assistance to communities affected by floods and the kzn disaster relief helpline…,LTouchinglives,Life Changing & Touching Lives,Wed Jan 29 06:56:02 +0000 2020,[],also informed government assistance communities affected floods kzn disaster relief helpline,0.185,0.339,-0.3818,Negative,0
7,7,2022-04-25 17:10:01+00:00,1518638471883198468,,,rt @gcis_kzn: gcis together with durban and coastal mental health engaged with learners and educators of the s.dass school for learners wit…,LTouchinglives,Life Changing & Touching Lives,Wed Jan 29 06:56:02 +0000 2020,[],gcis together durban coastal mental health engaged learners educators dass school learners wit,0.184,0.0,0.4019,Positive,1
8,8,2022-04-25 17:09:58+00:00,1518638459803795456,,,rt @gauravgogoiasm: drove a jcb near kaziranga today to build elevated shelters which will protect people and their livestock at the time o…,BaanwaraMann,🏵Gया🏵🚜,Mon Dec 29 19:33:34 +0000 2014,[],drove jcb near kaziranga today build elevated shelters protect people livestock time,0.191,0.0,0.3818,Positive,1
9,9,2022-04-25 17:09:47+00:00,1518638412756045827,,,"beautiful home boasting large spacious rooms, soaring ceilings and an open living concept. sunlight floods in givin… ",sjenningsrealty,Scott Jennings,Tue Sep 19 18:03:45 +0000 2017,"[{'url': 'https://t.co/sTqvU13h8J', 'expanded_url': 'https://twitter.com/i/web/status/1518638412756045827', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",beautiful home boasting large spacious rooms soaring ceilings open living concept sunlight floods givin,0.231,0.0,0.5994,Positive,1
10,10,2022-04-25 17:09:46+00:00,1518638408146448385,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,confusewaffle,rusuk,Sun May 30 06:09:04 +0000 2021,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
11,11,2022-04-25 17:09:44+00:00,1518638400714194950,,,"beautiful home boasting large spacious rooms, soaring ceilings and an open living concept. sunlight floods in givin… ",scottjhomes,Scott Jennings,Sat Nov 19 17:13:54 +0000 2016,"[{'url': 'https://t.co/D6awHOlHih', 'expanded_url': 'https://twitter.com/i/web/status/1518638400714194950', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",beautiful home boasting large spacious rooms soaring ceilings open living concept sunlight floods givin,0.231,0.0,0.5994,Positive,1
12,12,2022-04-25 17:09:42+00:00,1518638392279404545,,,"rt @themarkjacka: hey young people, don’t stress too much about the cost of education, trying to buy a house, floods &amp; fires, climate inact…",AlanGaha,"There's no ""us"" & ""them"" - it's just us",Fri Jan 16 10:58:41 +0000 2009,[],hey young people stress much cost education trying buy house floods amp fires climate inact,0.0,0.167,-0.4215,Negative,0
13,13,2022-04-25 17:09:36+00:00,1518638366819979265,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,imann_soul,ايمان.,Sun Oct 13 08:57:36 +0000 2013,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
14,14,2022-04-25 17:09:33+00:00,1518638355612852224,,,"rt @wckitchen: scenes from our food kit delivery in umlazi, south africa! 📸 over the weekend, wck partner gift of the givers brought 600 fo…",spursFanop,spursFanOP,Fri Jun 14 13:52:05 +0000 2013,[],scenes food kit delivery umlazi south africa weekend wck paner gift givers brought fo,0.318,0.0,0.6808,Positive,1
15,15,2022-04-25 17:09:27+00:00,1518638329335476225,,,"rt @chrisdlabat: don't wake up if you're dreaming of love, that to love is to dream!
to wake up is to distroy illusion and to find in the s…",meh_thinks,𝓜𝓮𝓱𝓻𝓲💫,Sat Feb 26 21:21:07 +0000 2011,[],wake dreaming love love dream wake distroy illusion find,0.634,0.0,0.886,Positive,1
16,16,2022-04-25 17:09:21+00:00,1518638303032926208,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,harlowzd,na,Wed Feb 06 08:05:23 +0000 2019,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
17,17,2022-04-25 17:09:13+00:00,1518638272913854470,,,rt @1truclaretnblu: #jameswatt &amp; floods in doldowlod wales in the 18th century @cwmhfriends @midlandhistory @historywm @sbriercliffe @karen…,1truclaretnblu,Keith Bracey,Wed Sep 26 13:16:15 +0000 2012,[],#jameswatt amp floods doldowlod wales th century,0.0,0.0,0.0,Negative,0
18,18,2022-04-25 17:09:03+00:00,1518638229884481536,,,"rt @razia_cassim: we did it... 
in 3days we managed to get a 8ton truck fully loaded with water, essentials &amp; jojos. we districuted to 7 di…",NottAbott1,NotaBot,Mon Jan 30 09:07:25 +0000 2012,[],days managed get ton truck fully loaded water essentials amp jojos districuted di,0.0,0.0,0.0,Negative,0
19,19,2022-04-25 17:09:01+00:00,1518638222934683648,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,zaarithross,Zarith,Sun Jan 15 13:46:26 +0000 2012,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
20,20,2022-04-25 17:09:01+00:00,1518638220472295424,,,"rt @notsoaidil: chulalongkorn park in bangkok, thailand keeps the city safe from floods. it can hold one million gallons of water during se…",pokokapril,ByulEri🍦,Fri Nov 05 04:23:22 +0000 2010,[],chulalongkorn park bangkok thailand keeps city safe floods hold one million gallons water se,0.182,0.0,0.4404,Positive,1
21,21,2022-04-25 17:08:57+00:00,1518638204424962049,,,rt @moi02114223moi: trio of oaks (550 yr darwin oak in background ) shropshire council want to fell for the climate damaging north west roa…,octaneangel,Wendy,Thu May 10 18:15:10 +0000 2012,[],trio oaks yr darwin oak background shropshire council want fell climate damaging noh west roa,0.074,0.187,-0.4588,Negative,0
22,22,2022-04-25 17:08:57+00:00,1518638202458095616,,,"rt @notsoaidil: the floods in kl demand malaysia to reshape how we should sustainably plan our cities.

sponge cities help with flood mitig…",haziqcmz,.,Sun Nov 20 10:31:47 +0000 2016,[],floods kl demand malaysia reshape sustainably plan cities sponge cities help flood mitig,0.178,0.099,0.296,Positive,1
23,23,2022-04-25 17:08:55+00:00,1518638197794050048,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,ucnaa__,𝓢𝓽𝓪𝓻𝓑𝓾𝓽𝓽𝓮𝓻𝓯𝓵𝔂 ☁️,Sat Jul 08 19:36:57 +0000 2017,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
24,24,2022-04-25 17:08:49+00:00,1518638170148986880,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,alyrshd,alya,Fri Feb 04 12:35:27 +0000 2011,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
25,25,2022-04-25 17:08:44+00:00,1518638150180274176,,,"rt @dasmodeler: say it with me:

“these floods are god’s way of telling employers that permanent wfh should be the new norm. also, no pay c…",mirul_acap1117,#stayathome محمد اميرول اشراف,Wed Nov 09 10:34:10 +0000 2011,[],say floods god way telling employers permanent wfh new norm also pay c,0.156,0.104,0.1779,Positive,1
26,26,2022-04-25 17:08:44+00:00,1518638148087128070,,,"rt @_bonga: kzn revised the cost of the floods from r950bn to r17bn? 

😂😂😂😂😂😂😂😂😂😂😂",sagwati,Sagwati Ps Hlachwayo,Sat Jan 16 23:52:50 +0000 2010,[],kzn revised cost floods r bn r bn,0.0,0.0,0.0,Negative,0
27,27,2022-04-25 17:08:43+00:00,1518638144400281601,,,rt @musakhawula: bobo mbele on the kzn floods. ,SouthinaM,Southinah Matlala🇿🇦🇨🇳🇸🇬,Sun Feb 08 20:40:27 +0000 2015,[],bobo mbele kzn floods,0.0,0.0,0.0,Negative,0
28,28,2022-04-25 17:08:30+00:00,1518638089740046336,,,"rt @kolektifiklim: today’s floods in kuala lumpur urgently demand malaysia to reform how our cities should be planned.

climate resilience…",yvyvivy,▪️,Wed Jul 08 10:45:22 +0000 2009,[],today floods kuala lumpur urgently demand malaysia reform cities planned climate resilience,0.0,0.12,-0.128,Negative,0
29,29,2022-04-25 17:08:22+00:00,1518638059113181184,,,"rt @cbssunday: last summer, floods inundated western germany, killing nearly 200 people and devastating the ahr valley. local winemakers wh…",bjchan,bernardo,Mon Feb 16 13:32:32 +0000 2009,[],last summer floods inundated western germany killing nearly people devastating ahr valley local winemakers wh,0.0,0.401,-0.8658,Negative,0
30,30,2022-04-25 17:08:17+00:00,1518638034970943488,EllenBees,541340349,@ellenbees floods!,Giiwedinong3,Giiwedinong,Sat Feb 01 04:49:44 +0000 2014,[],floods,0.0,0.0,0.0,Negative,0
31,31,2022-04-25 17:08:14+00:00,1518638024367611905,,,"rt @notsoaidil: chulalongkorn park in bangkok, thailand keeps the city safe from floods. it can hold one million gallons of water during se…",maimoonagh,Mustika,Sun Jun 05 15:05:17 +0000 2011,[],chulalongkorn park bangkok thailand keeps city safe floods hold one million gallons water se,0.182,0.0,0.4404,Positive,1
32,32,2022-04-25 17:08:12+00:00,1518638013760172032,,,"rt @kolektifiklim: today’s floods in kuala lumpur urgently demand malaysia to reform how our cities should be planned.

climate resilience…",barolll51,zahirrr,Wed Nov 30 06:55:06 +0000 2011,[],today floods kuala lumpur urgently demand malaysia reform cities planned climate resilience,0.0,0.12,-0.128,Negative,0
33,33,2022-04-25 17:08:00+00:00,1518637963831246848,,,"rt @newsbfm: 1. kl was hit by flash floods following continuous heavy rain earlier this afternoon, causing massive jams across the klang va…",imann_soul,ايمان.,Sun Oct 13 08:57:36 +0000 2013,[],kl hit flash floods following continuous heavy rain earlier afternoon causing massive jams across klang va,0.0,0.0,0.0,Negative,0
34,34,2022-04-25 17:07:55+00:00,1518637945778974720,MOOGtheOptimist,1.15E+18,@moogtheoptimist we will see who’s teasing who when australia floods,DblBeez92,Brandt,Fri Sep 24 01:25:14 +0000 2010,[],see teasing australia floods,0.0,0.302,-0.0772,Negative,0
35,35,2022-04-25 17:07:48+00:00,1518637916062314496,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,suhanasuffian,nrlshn,Wed Nov 30 14:50:14 +0000 2016,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
36,36,2022-04-25 17:07:44+00:00,1518637899457064960,,,"rt @notsoaidil: chulalongkorn park in bangkok, thailand keeps the city safe from floods. it can hold one million gallons of water during se…",Ahmad_KanekiKen,احمد كانيكي برڤواسا,Wed Apr 20 03:24:55 +0000 2016,[],chulalongkorn park bangkok thailand keeps city safe floods hold one million gallons water se,0.182,0.0,0.4404,Positive,1
37,37,2022-04-25 17:07:36+00:00,1518637865156382720,,,"rt @kolektifiklim: today’s floods in kuala lumpur urgently demand malaysia to reform how our cities should be planned.

climate resilience…",nazirantings,Naziophora 🏴,Sun Nov 03 16:22:06 +0000 2019,[],today floods kuala lumpur urgently demand malaysia reform cities planned climate resilience,0.0,0.12,-0.128,Negative,0
38,38,2022-04-25 17:07:19+00:00,1518637791365808129,,,tune in to vuma fm as the talk about the catastrophe of kzn floods continues with xolani dube and menelisi ndwandwe… ,umsinsimovement,Umsinsi WokuZimilela The Native Movement,Thu Mar 17 08:13:30 +0000 2022,"[{'url': 'https://t.co/mEnVSMczx4', 'expanded_url': 'https://twitter.com/i/web/status/1518637791365808129', 'display_url': 'twitter.com/i/web/status/1…', 'indices': [117, 140]}]",tune vuma fm talk catastrophe kzn floods continues xolani dube menelisi ndwandwe,0.0,0.286,-0.6597,Negative,0
39,39,2022-04-25 17:07:18+00:00,1518637788631126017,,,rt @pholelo4many: the eff in king cetshwayo visited victims of floods that were visited in the past week to offer temporary remedies to suf…,BrandonKaule,Brandon,Wed Aug 28 16:02:48 +0000 2019,[],eff king cetshwayo visited victims floods visited past week offer temporary remedies suf,0.0,0.161,-0.3182,Negative,0
40,40,2022-04-25 17:07:08+00:00,1518637746599854080,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,ttheevy,evy⁷⸝⸝,Sat Jan 04 11:19:55 +0000 2020,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
41,41,2022-04-25 17:07:01+00:00,1518637717952864256,,,rt @backwoodsy101: 🚨 saudi arabia floods 🇸🇦 residents evacuated and road closed april 25th ...  via @youtube,SpacemamaMaya,รקคςє๓ค๓ค ๓คyค  Ω,Fri Dec 19 18:10:42 +0000 2014,"[{'url': 'https://t.co/465yreKQHN', 'expanded_url': 'https://youtu.be/quh3hukmdLk', 'display_url': 'youtu.be/quh3hukmdLk', 'indices': [95, 118]}]",saudi arabia floods residents evacuated road closed april th via,0.0,0.0,0.0,Negative,0
42,42,2022-04-25 17:06:57+00:00,1518637699065958401,,,p(floods money | corrupt politicians),TheRealLZK,Iceberg Slim,Mon Jun 29 12:16:20 +0000 2009,[],p floods money corrupt politicians,0.0,0.0,0.0,Negative,0
43,43,2022-04-25 17:06:27+00:00,1518637573924691968,PeterGiffin7,1.07E+18,"@petergiffin7 apr 24 ewe:  after the relentless rain, south africa sounds the alarm on the climate crisis. ",TinTincognito,R.S. MacKinnon (he/him),Tue Sep 09 15:30:53 +0000 2008,"[{'url': 'https://t.co/WQfIc7PgJ4', 'expanded_url': 'https://www.theguardian.com/world/2022/apr/24/south-africa-floods-rain-climate-crisis-extreme-weather', 'display_url': 'theguardian.com/world/2022/apr…', 'indices': [107, 130]}]",apr ewe relentless rain south africa sounds alarm climate crisis,0.082,0.442,-0.743,Negative,0
44,44,2022-04-25 17:06:24+00:00,1518637564143759361,,,rt @notsoaidil: kl is facing floods again. people are trapped in their offices. their vehicles are drowning. they are worried if they’ll ge…,ziranatasha1,ezir 🦒,Thu Oct 31 07:25:58 +0000 2019,[],kl facing floods people trapped offices vehicles drowning worried ge,0.0,0.412,-0.6808,Negative,0
45,45,2022-04-25 17:06:18+00:00,1518637537597616137,,,"rt @ramvarm28575883: •he donoted highest amount of money to the government at the time of ccorona crisis
•he donoted 1cr for hyderabad floo…",ID_marchipoya,Blank,Mon Jun 01 07:09:17 +0000 2020,[],donoted highest amount money government time ccorona crisis donoted cr hyderabad floo,0.0,0.272,-0.6249,Negative,0
46,46,2022-04-25 17:06:14+00:00,1518637522171346944,,,rt @business: sasol declares force majeure on some chemicals exports following catastrophic rains in south africa’s kwazulu-natal province…,CoTfse,あ,Tue Aug 17 14:24:27 +0000 2021,[],sasol declares force majeure chemicals expos following catastrophic rains south africa kwazulu natal province,0.0,0.198,-0.4939,Negative,0
